FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d2a,311310,Makushin,19865,Confirmed Eruption,5,,,,Radiocarbon (uncorrected),,-6100,50,,0,0,,,,,,,,,POINT (53.891 -166.923)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d2b,311310,Makushin,19866,Confirmed Eruption,4,P,,,Tephrochronology,,-3650,1850,,0,0,,,,,,,,,POINT (53.891 -166.923)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d2c,311320,Akutan,19995,Confirmed Eruption,5,,,,Radiocarbon (uncorrected),?,340,,,0,0,,,,,,,,,POINT (54.134 -165.986)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d2d,311340,Westdahl,20039,Confirmed Eruption,4,,Pogromni or (more likely) Westdahl,,Historical Observations,,1795,,,0,0,,,,,,,,,POINT (54.516 -164.65)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d2e,311350,Fisher,20047,Confirmed Eruption,6,?,NE and SW parts of Fisher caldera,,Radiocarbon (uncorrected),,-7420,200,,0,0,,,,,,,,,POINT (54.65 -164.43)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d2f,311350,Fisher,20048,Confirmed Eruption,5,,Turquoise cone,,Radiocarbon (uncorrected),,-3170,75,,0,0,,,,,,,,,POINT (54.65 -164.43)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d30,311370,Isanotski,20103,Uncertain Eruption,4,,,,,,1825,,,3,10,,,,,,,,,POINT (54.765 -163.723)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d31,311380,Roundtop,20107,Confirmed Eruption,5,?,,,Tephrochronology,,-7600,500,,0,0,,,,,,,,,POINT (54.8 -163.589)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d32,312030,Pavlof,20111,Confirmed Eruption,4,?,Volcano Uncertain,,,,1762,,,0,0,,,1786,,,0,0,,POINT (55.417 -161.894)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d33,312050,Dana,20154,Confirmed Eruption,5,,,,Radiocarbon (uncorrected),?,-1890,,,0,0,,,,,,,,,POINT (55.641 -161.214)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d34,312070,Veniaminof,20156,Confirmed Eruption,6,,,,Radiocarbon (uncorrected),?,-1750,,,0,0,,,,,,,,,POINT (56.17 -159.38)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d35,312080,Black Peak,20179,Confirmed Eruption,6,,,,Tephrochronology,,-1900,150,,0,0,,,,,,,,,POINT (56.552 -158.785)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d36,312090,Aniakchak,20180,Confirmed Eruption,6,?,,,Tephrochronology,,-6300,1250,,0,0,,,,,,,,,POINT (56.88 -158.17)
